business_name	business_address	business_city	business_state	business_postal_code	business_latitude	business_longitude	business_phone_number	inspection_id	inspection_date	inspection_score	inspection_type	violation_id	violation_description	risk_category
Venga Empanadas	443 Valencia St	San Francisco	CA	94103	37.765834	-122.421926		65791_20161128	2017-11-28		Reinspection/Followup			
LA VIE VIETNAMESE REST	5830 GEARY Blvd	San Francisco	CA	94121	37.780298	-122.482022		2596_20160609	2017-06-09	74.0	Routine - Unscheduled	2596_20160609_103142	Unclean nonfood contact surfaces	Low Risk
CA Academy of Science Cafe	55 Music Concourse Dr	San Francisco	CA	94118			+14152332403	80619_20161214	2017-12-14	89.0	Routine - Unscheduled	80619_20161214_103103	High risk food holding temperature	High Risk
Five Star Truffles	4251 A 18th St	San Francisco	CA	94114			+14155555128	83325_20180122	2017-01-22		Non-inspection site visit	83325_20180122_103157	Food safety certificate or food handler card not available	Low Risk
Las Palmeras	2721 Mission St	San Francisco	CA	94110	37.753463	-122.418536		18047_20170126	2017-01-26	72.0	Routine - Unscheduled	18047_20170126_103132	Improper thawing methods	Moderate Risk
Waffle Cone Shop	Pier 39  B-4	San Francisco	CA	94133			+14155959312	81077_20160330	2017-03-30	96.0	Routine - Unscheduled	81077_20160330_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Pat's Cafe	2330 Taylor St	San Francisco	CA	94133	37.803947	-122.414927		1852_20170124	2017-01-24		Reinspection/Followup			
Dar Bar Pakistani/Indian Cusine	1412 Polk St	San Francisco	CA	94109	37.789784	-122.420455		1757_20170928	2017-09-28	86.0	Routine - Unscheduled	1757_20170928_103153	Inadequate dressing rooms or improper storage of personal items	Low Risk
MING TAI WUN TUN NOODLE, INC.	2455 NORIEGA St	San Francisco	CA	94122	37.753614	-122.490219		972_20161109	2017-11-09	83.0	Routine - Unscheduled	972_20161109_103154	Unclean or degraded floors walls or ceilings	Low Risk
McGarden Bakery	5131 Mission St	San Francisco	CA	94112	37.716691	-122.440719		59651_20170810	2017-08-10	81.0	Routine - Unscheduled	59651_20170810_103123	Food in poor condition	Moderate Risk
NOAH'S NEW YORK BAGELS #2105	1521 SLOAT Blvd	San Francisco	CA	94132	37.733944	-122.490438		5074_20170829	2017-08-29	94.0	Routine - Unscheduled	5074_20170829_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Cesario	601 Sutter St	San Francisco	CA	94102	37.788943	-122.410517		1813_20170725	2017-07-25	90.0	Routine - Unscheduled	1813_20170725_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Cable Car Restaurant	1040 Columbus Ave	San Francisco	CA	94133	37.803984	-122.415453	+14155744455	3895_20160816	2017-08-16		Reinspection/Followup			
HOLEY BAGEL BAKERY	3872 24th St	San Francisco	CA	94114	37.751628	-122.429122		1434_20160307	2017-03-07	91.0	Routine - Unscheduled	1434_20160307_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
MENKEE WONTON	1701 Noriega St	San Francisco	CA	94122	37.753954	-122.481866		35702_20160509	2017-05-09	86.0	Routine - Unscheduled	35702_20160509_103144	Unapproved or unmaintained equipment or utensils	Low Risk
Cafe Troya Fillmore	2125 FILLMORE St	San Francisco	CA	94115	37.789404	-122.433954		68986_20171211	2017-12-11	80.0	Routine - Unscheduled	68986_20171211_103144	Unapproved or unmaintained equipment or utensils	Low Risk
Cable Car Restaurant	1040 Columbus Ave	San Francisco	CA	94133	37.803984	-122.415453	+14155744455	3895_20160729	2017-07-29	78.0	Routine - Unscheduled	3895_20160729_103156	Permit license or inspection report not posted	Low Risk
California Pacific Medical Ctr - Hospital Kitchen	2333 Buchanan St Level A	San Francisco	CA	94120	37.791426	-122.431039		65271_20161005	2017-10-05	89.0	Routine - Unscheduled	65271_20161005_103116	Inadequate food safety knowledge or lack of certified food safety manager	Moderate Risk
Ilobasco Restaurant & Pupuseria	2680 San Bruno Ave	San Francisco	CA	94134	37.727898	-122.403751		38202_20160812	2017-08-12	80.0	Routine - Unscheduled	38202_20160812_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
San Vicente Restaurant	4423 Mission	San Francisco	CA	94112				87148_20160617	2017-06-17		New Ownership			
Happy Family Gourmet Inc	1042 Taraval St	San Francisco	CA	94116			+14155998122	85295_20170601	2017-06-01		Complaint	85295_20170601_103133	Foods not protected from contamination	Moderate Risk
Starbucks Coffee	052 California St	San Francisco	CA	94111	37.793632	-122.397023	+14155398630	2777_20171003	2017-10-03	94.0	Routine - Unscheduled	2777_20171003_103143	Inadequate warewashing facilities or equipment	Low Risk
Napoleon Super Bakery Corp	1049 Stockton St	San Francisco	CA	94108	37.795594	-122.408204		34611_20170801	2017-08-01	81.0	Routine - Unscheduled	34611_20170801_103139	Improper food storage	Low Risk
Bun Mee	650 Market St	San Francisco	CA	94104				76401_20151204	2017-12-04		Complaint	76401_20151204_103141	Improper food labeling or menu misrepresentation	Low Risk
Tupelo	1337 Grant Ave	San Francisco	CA	94133	37.799293	-122.407334		67067_20160729	2017-07-29	73.0	Routine - Unscheduled	67067_20160729_103109	Unclean or unsanitary food contact surfaces	High Risk
ALBORZ	1245 VAN NESS Ave	San Francisco	CA	94109	37.787375	-122.421844	+14155444321	3309_20170112	2017-01-12		Complaint			
MIRALOMA ELEMENTARY SCHOOL	175 OMAR Way	San Francisco	CA	94127	37.739266	-122.450227	+14155464734	5819_20161108	2017-11-08	100.0	Routine - Unscheduled			
Super Duper	783 Mission St #1010	San Francisco	CA	94103	37.784758	-122.403837		68831_20160923	2017-09-23		Reinspection/Followup			
La Loma #6	4788 Mission St.	San Francisco	CA	94112				93520_20180221	2017-02-21		Reinspection/Followup	93520_20180221_103154	Unclean or degraded floors walls or ceilings	Low Risk
RESTAURANTE FAMILIAR	4499 MISSION St	San Francisco	CA	94112	37.726402	-122.433476	+14155336100	1362_20151030	2017-10-30	94.0	Routine - Unscheduled	1362_20151030_103157	Food safety certificate or food handler card not available	Low Risk
ROSE'S CAFE	2298 Union St	San Francisco	CA	94123	37.796927	-122.436974	+14155955596	2739_20171114	2017-11-14	90.0	Routine - Unscheduled	2739_20171114_103133	Foods not protected from contamination	Moderate Risk
Good Frikin Chicken	10 29th St	San Francisco	CA		37.744369	-122.420967		10376_20151207	2017-12-07	96.0	Routine - Unscheduled	10376_20151207_103144	Unapproved or unmaintained equipment or utensils	Low Risk
Kettle Corn Star	865 Market St	San Francisco	CA	94103				69290_20150422	2017-04-22	100.0	Routine - Unscheduled			
Moonraker Mobile LLC	Off The Grid	San Francisco	CA					86277_20170802	2017-08-02	82.0	Routine - Unscheduled	86277_20170802_103156	Permit license or inspection report not posted	Low Risk
TAWAN'S THAI FOOD	4403 GEARY Blvd	San Francisco	CA	94118	37.780834	-122.46659		1203_20170803	2017-08-03	77.0	Routine - Unscheduled	1203_20170803_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
ROUND TABLE PIZZA RESTAURANT	3567 Geary Blvd	San Francisco	CA	94118	37.781233	-122.457185		3743_20150929	2017-09-29	94.0	Routine - Unscheduled	3743_20150929_103139	Improper food storage	Low Risk
Pho Vung Tau, Inc	708 Vallejo St	San Francisco	CA	94133	37.798578	-122.409094		37152_20160712	2017-07-12	81.0	Routine - Unscheduled	37152_20160712_103139	Improper food storage	Low Risk
Valencia WholeFoods Inc	999 Valencia St	San Francisco	CA	94110				92939_20170830	2017-08-30	88.0	Routine - Unscheduled	92939_20170830_103120	Moderate risk food holding temperature	Moderate Risk
Great India Restaurant	6127 GEARY Blvd	San Francisco	CA	94121	37.7800074719969	-122.485229		62765_20160120	2017-01-20	82.0	Routine - Unscheduled	62765_20160120_103148	No thermometers or uncalibrated thermometers	Low Risk
RED A BAKERY	634 CLEMENT St	San Francisco	CA	94118	37.782888	-122.466101		2716_20171016	2017-10-16	88.0	Routine - Unscheduled	2716_20171016_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Ottimista Enoteca-Cafe	1838 UNION St	San Francisco	CA	94123				69494_20170525	2017-05-25	68.0	Routine - Unscheduled	69494_20170525_103114	High risk vermin infestation	High Risk
Craftsman and Wolves The Den	1598 Yosemite Ave	San Francisco	CA	94124				84749_20160329	2017-03-29		New Construction			
SF NEWA	407 Ellis St	San Francisco	CA	94102			+14155443876	88129_20170914	2017-09-14	72.0	Routine - Unscheduled	88129_20170914_103142	Unclean nonfood contact surfaces	Low Risk
Panchitas Cart	3091 16th St	San Francisco	CA	94103				75108_20160718	2017-07-18		New Construction	75108_20160718_103144	Unapproved or unmaintained equipment or utensils	Low Risk
Sotto Mare Oysteria & Seafood	552 Green St	San Francisco	CA	94133			+14155393181	80931_20160614	2017-06-14	74.0	Routine - Unscheduled	80931_20160614_103132	Improper thawing methods	Moderate Risk
Lebeau's Nob Hill Market	1263 Leavenworth St	San Francisco	CA	94109	37.792854	-122.416114		4935_20170822	2017-08-22	85.0	Routine - Unscheduled	4935_20170822_103133	Foods not protected from contamination	Moderate Risk
Coffee Cultures SOMA	1301 Mission St.	San Francisco	CA	94103				86766_20180212	2017-02-12	90.0	Routine - Unscheduled	86766_20180212_103120	Moderate risk food holding temperature	Moderate Risk
Le Petit Cafe	1 Maritime Plaza	San Francisco	CA	94111	37.795227	-122.39914		886_20161228	2017-12-28	96.0	Routine - Unscheduled	886_20161228_103139	Improper food storage	Low Risk
CHOUQUET'S	2500 WASHINGTON St	San Francisco	CA	94115	37.791607	-122.434563		1526_20150624	2017-06-24		Complaint	1526_20150624_103102	Unclean hands or improper use of gloves	High Risk
PATPONG THAI CUISINE, INC.	2415 CLEMENT St	San Francisco	CA	94121	37.781973	-122.48522		876_20160518	2017-05-18	83.0	Routine - Unscheduled	876_20160518_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
7 Eleven 2366-20643D	2000 Ocean Ave	San Francisco	CA	94127				91830_20180227	2017-02-27	84.0	Routine - Unscheduled	91830_20180227_103157	Food safety certificate or food handler card not available	Low Risk
H20 Cafe	1330 Polk St	San Francisco	CA	94109	37.789288	-122.420387		62708_20171017	2017-10-17		Reinspection/Followup			
Mission Asia Noodle	5249 Mission St.	San Francisco	CA	94112				89847_20170802	2017-08-02		New Ownership	89847_20170802_103133	Foods not protected from contamination	Moderate Risk
A-1 BAKERY	1727 OCEAN Ave	San Francisco	CA	94112	37.724824	-122.460726	+14155586923	619_20170929	2017-09-29	90.0	Routine - Unscheduled	619_20170929_103121	Inadequate procedures or records for time as a public health control	Moderate Risk
Borderlands Cafe	870 Valencia St	San Francisco	CA	94110	37.758997	-122.421344		40212_20161123	2017-11-23	100.0	Routine - Unscheduled			
ST. THOMAS MORE	50 THOMAS MORE Way	San Francisco	CA	94132	37.712259	-122.47308	+14155330100	5951_20170426	2017-04-26	91.0	Routine - Unscheduled	5951_20170426_103103	High risk food holding temperature	High Risk
Little Paris	1131 Stockton St	San Francisco	CA	94133			+14155984057	71012_20160302	2017-03-02	72.0	Routine - Unscheduled	71012_20160302_103151	Inadequate or unsanitary refuse containers or area or no garbage service	Low Risk
El Nuevo Frutilandia	3077 24th St	San Francisco	CA	94110				69885_20171221	2017-12-21	90.0	Routine - Unscheduled	69885_20171221_103156	Permit license or inspection report not posted	Low Risk
South Basin Partners LLC	1566 Carroll Ave.	San Francisco	CA	94124				92387_20170901	2017-09-01	98.0	Routine - Unscheduled	92387_20170901_103154	Unclean or degraded floors walls or ceilings	Low Risk
Chowders	Pier 39  Space A3	San Francisco	CA	94133	37.80824	-122.410189		61_20170124	2017-01-24	98.0	Routine - Unscheduled	61_20170124_103153	Inadequate dressing rooms or improper storage of personal items	Low Risk
Little Sheep Mongolian Hot Pot	405 Mason St	San Francisco	CA	94102				76874_20161202	2017-12-02		Reinspection/Followup			
Red Tavern	2229 Clement St	San Francisco	CA				+14155759090	81355_20160701	2017-07-01		Reinspection/Followup			
KJ Produce Market	400 IRVING St	San Francisco	CA	94122			+14155562208	70576_20170828	2017-08-28		Complaint	70576_20170828_103154	Unclean or degraded floors walls or ceilings	Low Risk
Nama Sushi	227 King St	San Francisco	CA	94107	37.777398	-122.392391	+14155492007	19041_20161110	2017-11-10	85.0	Routine - Unscheduled	19041_20161110_103145	Improper storage of equipment utensils or linens	Low Risk
CAL MART SUPERMARKET	3585 CALIFORNIA St	San Francisco	CA	94118	37.786453	-122.452807		4963_20171031	2017-10-31	83.0	Routine - Unscheduled	4963_20171031_103109	Unclean or unsanitary food contact surfaces	High Risk
Yum Yum Sushi House	2181 Irving St	San Francisco	CA	94122				92187_20170823	2017-08-23	90.0	Routine - Unscheduled	92187_20170823_103139	Improper food storage	Low Risk
JAVA BEACH CAFE	1396 LA PLAYA St	San Francisco	CA	94122	37.760416	-122.509106		961_20171103	2017-11-03	96.0	Routine - Unscheduled	961_20171103_103139	Improper food storage	Low Risk
Little Kite	3515 20th St.	San Francisco	CA	94110				93490_20180221	2017-02-21	72.0	Routine - Unscheduled	93490_20180221_103131	Moderate risk vermin infestation	Moderate Risk
Panchitas Restaurant	3091 16th St	San Francisco	CA	94103	37.764903	-122.421609		19003_20170801	2017-08-01	62.0	Routine - Unscheduled	19003_20170801_103108	Contaminated or adulterated food	High Risk
Fumi Curry	3303 Mission St	San Francisco	CA	94110			+14155601611	81302_20161206	2017-12-06	79.0	Routine - Unscheduled	81302_20161206_103154	Unclean or degraded floors walls or ceilings	Low Risk
City Discount Meat & Grocery Market	2298 Mission St	San Francisco	CA	94110			+14155436828	79430_20170830	2017-08-30	63.0	Routine - Unscheduled	79430_20170830_103139	Improper food storage	Low Risk
Bar Via	138 King St.	San Francisco	CA	94107				91107_20170614	2017-06-14		New Construction			
Cafe La Flore 1	1032 Clement St	San Francisco	CA	94118				78844_20160303	2017-03-03	81.0	Routine - Unscheduled	78844_20160303_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
AT&T - (J-2A) BEN & JERRY'S	24 Willie Mays Pl	San Francisco	CA	94107				5521_20150920	2017-09-20		Reinspection/Followup			
Dear Mom	2700 16th St	San Francisco	CA	94103	37.765459	-122.413462		67833_20171019	2017-10-19	90.0	Routine - Unscheduled	67833_20171019_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Tenderloin Market & Deli	200 Leavenworth	San Francisco	CA	94102				76218_20170309	2017-03-09	79.0	Routine - Unscheduled	76218_20170309_103156	Permit license or inspection report not posted	Low Risk
Hamburger Haven	800 Clement St	San Francisco	CA	94118	37.782799	-122.467852		542_20161006	2017-10-06	86.0	Routine - Unscheduled	542_20161006_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Stacks Restaurant	501 Hayes St	San Francisco	CA	94102	37.776623	-122.424787		33468_20170814	2017-08-14		Reinspection/Followup			
Wing Lum Cafe	1150 Polk St	San Francisco	CA	94109	37.787438	-122.419952		3285_20161005	2017-10-05	77.0	Routine - Unscheduled	3285_20161005_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Patxi's Chicago Pizza	3318 Fillmore St	San Francisco	CA	94123	37.800061	-122.43602		60898_20170214	2017-02-14	83.0	Routine - Unscheduled	60898_20170214_103145	Improper storage of equipment utensils or linens	Low Risk
Hoffmann's Grill & Rotisserie	1000 Guerrero St	San Francisco	CA	94110			+14155377479	81468_20161206	2017-12-06	96.0	Routine - Unscheduled	81468_20161206_103139	Improper food storage	Low Risk
Lahore Karahi	612 O'Farrell St	San Francisco	CA	94109	37.785635	-122.414779		69016_20180301	2017-03-01	72.0	Routine - Unscheduled	69016_20180301_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Cafe Francisc	2161 Powell St	San Francisco	CA	94133	37.804519	-122.411754		2168_20170810	2017-08-10	90.0	Routine - Unscheduled	2168_20170810_103120	Moderate risk food holding temperature	Moderate Risk
Tacos El Tuca	428 11th St	San Francisco	CA	94103	37.769957	-122.411668		69275_20160817	2017-08-17	87.0	Routine - Unscheduled	69275_20160817_103152	Unclean unmaintained or improperly constructed toilet facilities	Low Risk
Eclectic Cookery, Inc	103 Horne Ave.	San Francisco	CA	94124				90272_20171128	2017-11-28	80.0	Routine - Unscheduled	90272_20171128_103105	Improper cooling methods	High Risk
Maggie Cafe	848 Grant Ave	San Francisco	CA	94108	37.794898	-122.406356		36473_20160412	2017-04-12	94.0	Routine - Unscheduled	36473_20160412_103145	Improper storage of equipment utensils or linens	Low Risk
Tart To Tart Inc.	641 Irving St	San Francisco	CA	94122			+14155507068	77681_20180301	2017-03-01	73.0	Routine - Unscheduled	77681_20180301_103139	Improper food storage	Low Risk
Sur La Table	2224 Union St	San Francisco	CA	94123				76677_20171003	2017-10-03		Complaint			
Bon Appetit @ USF -Crossroads	2130 Fulton St	San Francisco	CA	94117	37.775117	-122.452065		10362_20180320	2017-03-20		New Ownership			
The Bell	1900 Polk St	San Francisco	CA	94109	37.794298	-122.421387		3335_20180228	2017-02-28	86.0	Routine - Unscheduled	3335_20180228_103129	Insufficient hot water or running water	Moderate Risk
Let's Eat	5130 03rd St	San Francisco	CA	94124	37.731831	-122.391862		65245_20171213	2017-12-13	90.0	Routine - Unscheduled	65245_20171213_103161	Low risk vermin infestation	Low Risk
McDonald's	1201 Ocean Ave	San Francisco	CA	94112			+14155458819	90409_20170927	2017-09-27	92.0	Routine - Unscheduled	90409_20170927_103139	Improper food storage	Low Risk
Four Barrel Coffee	375 Valencia St	San Francisco	CA	94103	37.766994	-122.422035		36840_20180103	2017-01-03		Reinspection/Followup			
Capo's	641 Vallejo St	San Francisco	CA	94133				68321_20160407	2017-04-07	77.0	Routine - Unscheduled	68321_20160407_103145	Improper storage of equipment utensils or linens	Low Risk
Farmhouse Kitchen Thai Cuisine	710 Florida St	San Francisco	CA	94110				82413_20171204	2017-12-04	83.0	Routine - Unscheduled	82413_20171204_103145	Improper storage of equipment utensils or linens	Low Risk
Whole Foods Market	1150 Ocean Ave	San Francisco	CA	94112	37.723652	-122.45461	+14155337400	69769_20160628	2017-06-28	90.0	Routine - Unscheduled	69769_20160628_103154	Unclean or degraded floors walls or ceilings	Low Risk
ADELITA'S CAKES	3780 MISSION St	San Francisco	CA	94110	37.736304	-122.424432		386_20160429	2017-04-29	82.0	Routine - Unscheduled	386_20160429_103147	Inadequate ventilation or lighting	Low Risk
Pakwan Restaurant	3180 16th St	San Francisco	CA	94103			+14155252440	78698_20180202	2017-02-02		Reinspection/Followup			
El Cafetazo	3087 16th St	San Francisco	CA	94103	37.764903	-122.421439		23068_20171011	2017-10-11	80.0	Routine - Unscheduled	23068_20171011_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Griddle Fresh	4007 24th St	San Francisco	CA	94114			+14159351689	72027_20171005	2017-10-05		Reinspection/Followup			
J & A RESTAURANT	5712 MISSION St	San Francisco	CA	94112	37.709857	-122.449709	+14155336688	615_20170608	2017-06-08	86.0	Routine - Unscheduled	615_20170608_103131	Moderate risk vermin infestation	Moderate Risk
PERRYS	1944 UNION St	San Francisco	CA	94123	37.797648	-122.431274	+14155929022	3343_20171010	2017-10-10	92.0	Routine - Unscheduled	3343_20171010_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Village Pizzeria	1243 Van Ness Ave	San Francisco	CA	94109				91008_20170424	2017-04-24		New Ownership	91008_20170424_103133	Foods not protected from contamination	Moderate Risk
Hawker Fare	680 Valencia St.	San Francisco	CA	94110				89733_20161122	2017-11-22		New Ownership			
Jang Soo BBQ	6314 Geary Blvd	San Francisco	CA	94121	37.780068	-122.487241		67043_20160512	2017-05-12	70.0	Routine - Unscheduled	67043_20160512_103116	Inadequate food safety knowledge or lack of certified food safety manager	Moderate Risk
Huli Huli Hawaiian Grill	4100 03rd St	San Francisco	CA	94124				79520_20161012	2017-10-12	86.0	Routine - Unscheduled	79520_20161012_103157	Food safety certificate or food handler card not available	Low Risk
La Boulangerie De San Francisco	500 Hayes St	San Francisco	CA	94102				85164_20160419	2017-04-19	92.0	Routine - Unscheduled	85164_20160419_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Caffe Macaroni	59 Columbus Ave	San Francisco	CA	94111				88821_20170217	2017-02-17		Non-inspection site visit			
H & W GROCERY & LIQUOR	801 HAYES St	San Francisco	CA	94117	37.77598	-122.429577		7655_20160913	2017-09-13	94.0	Routine - Unscheduled	7655_20160913_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Le Central Bistro Corp	453 Bush St	San Francisco	CA	94108	37.790603	-122.405038		3121_20150331	2017-03-31	86.0	Routine - Unscheduled	3121_20150331_103138	Improper storage use or identification of toxic substances	Low Risk
IRVING SEAFOOD MARKET	2130 IRVING St	San Francisco	CA	94122	37.763428	-122.480921		4672_20160516	2017-05-16	88.0	Routine - Unscheduled	4672_20160516_103120	Moderate risk food holding temperature	Moderate Risk
The Battery - Prep Kitchen	717 Battery St Basement	San Francisco	CA	94111				75259_20170614	2017-06-14	98.0	Routine - Unscheduled	75259_20170614_103142	Unclean nonfood contact surfaces	Low Risk
Lers Ros 16th Street	3189 16th St	San Francisco	CA	94103			+14155302992	76817_20160902	2017-09-02	81.0	Routine - Unscheduled	76817_20160902_103120	Moderate risk food holding temperature	Moderate Risk
Thainery	380 Bush St #3	San Francisco	CA	94104				84711_20161102	2017-11-02	96.0	Routine - Unscheduled	84711_20161102_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
SAJJ Street Eats	Off the Grid	San Francisco	CA				+14158893501	71581_20160119	2017-01-19		Structural Inspection			
Ritual Coffee Roasters, Inc.	432 Octavia St #1B	San Francisco	CA	94102	37.776085	-122.424189		66185_20160616	2017-06-16		New Construction			
House of Sushi	2157 Polk St	San Francisco	CA	94109			+14155330772	81174_20180216	2017-02-16	96.0	Routine - Unscheduled	81174_20180216_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Tacolicious	2250 Chestnut St	San Francisco	CA	Ca			+14155646077	88139_20160623	2017-06-23		New Construction			
CHAMBERS eat + drink	601 Eddy St	San Francisco	CA	94109	37.783194	-122.418096		65829_20160630	2017-06-30	94.0	Routine - Unscheduled	65829_20160630_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
BRANNAN STREET CAFE	274 BRANNAN St	San Francisco	CA	94107	37.782334	-122.391479	+14155546562	4512_20170905	2017-09-05	94.0	Routine - Unscheduled	4512_20170905_103142	Unclean nonfood contact surfaces	Low Risk
Yum Yum Hunan	1828 DIVISADERO St	San Francisco	CA	94115	37.786578	-122.440096		38442_20170103	2017-01-03	77.0	Routine - Unscheduled	38442_20170103_103120	Moderate risk food holding temperature	Moderate Risk
The Grove	690 Mission St	San Francisco	CA	94105	37.786474	-122.401788		61602_20180105	2017-01-05	85.0	Routine - Unscheduled	61602_20180105_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Ushio Ramen	3128 16th St	San Francisco	CA	94103			+14155700318	89803_20161114	2017-11-14		New Construction			
Bernie's	50 Post St #8	San Francisco	CA	94104	37.789064	-122.402861		71682_20171215	2017-12-15	92.0	Routine - Unscheduled	71682_20171215_103154	Unclean or degraded floors walls or ceilings	Low Risk
95100 P-17 Nacho/Beer Cart	24 Willie Mays Pl Promenade Level Section 106	San Francisco	CA	94107				95100_20180322	2017-03-22		New Ownership			
La Taqueria Guadalajara	3146 24th St	San Francisco	CA	94110	37.752512	-122.415109	+14155644892	32671_20150729	2017-07-29		Reinspection/Followup			
Taqueria El Farolito #10	358 Beach St	San Francisco	CA	94133				79961_20170724	2017-07-24	65.0	Routine - Unscheduled	79961_20170724_103103	High risk food holding temperature	High Risk
Pakwan Restaurant	3180 16th St	San Francisco	CA	94103			+14155252440	78698_20160627	2017-06-27		Reinspection/Followup			
McDonald's	255 Winston St	San Francisco	CA				+14155253309	88524_20170530	2017-05-30	73.0	Routine - Unscheduled	88524_20170530_103116	Inadequate food safety knowledge or lack of certified food safety manager	Moderate Risk
901 Columbus Cafe	901 Columbus Ave	San Francisco	CA	94133	37.803056	-122.414186		1568_20160205	2017-02-05	88.0	Routine - Unscheduled	1568_20160205_103131	Moderate risk vermin infestation	Moderate Risk
Pearl Market	1201 DIVISADERO St	San Francisco	CA	94115	37.780783	-122.438984		67856_20150819	2017-08-19	94.0	Routine - Unscheduled	67856_20150819_103143	Inadequate warewashing facilities or equipment	Low Risk
Mayes	1233 Polk St	San Francisco	CA	94109	37.788313	-122.420254		60933_20160419	2017-04-19		Reinspection/Followup			
MR. PICKLE'S SANDWICH SHOP	3380 20th St	San Francisco	CA	94110	37.758817	-122.416522		7493_20160420	2017-04-20	90.0	Routine - Unscheduled	7493_20160420_103142	Unclean nonfood contact surfaces	Low Risk
