business_name	business_address	business_city	business_state	business_postal_code	business_latitude	business_longitude	business_phone_number	inspection_id	inspection_date	inspection_score	inspection_type	violation_id	violation_description	risk_category
Fang's	660 Howard St	San Francisco	CA	94105	37.785654	-122.399729		34434_20170602	2017-06-02	75.0	Routine - Unscheduled	34434_20170602_103103	High risk food holding temperature	High Risk
CINCO DE MAYO TAQUERIA & GROCERY	2426 SAN BRUNO Ave	San Francisco	CA	94134	37.731788	-122.405381		3861_20160503	2017-05-03	74.0	Routine - Unscheduled	3861_20160503_103105	Improper cooling methods	High Risk
California Grocery	123 Eddy St	San Francisco	CA	94102	37.784303	-122.409647	+14155448608	62064_20160411	2017-04-11	75.0	Routine - Unscheduled	62064_20160411_103154	Unclean or degraded floors walls or ceilings	Low Risk
Chipotle Mexican Grill #1566	50 California St	San Francisco	CA	94111				69006_20160321	2017-03-21	96.0	Routine - Unscheduled	69006_20160321_103148	No thermometers or uncalibrated thermometers	Low Risk
Caffe Ambrosia	14 Trinity Pl	San Francisco	CA	94104	37.790109	-122.402597		428_20150427	2017-04-27	100.0	Routine - Unscheduled			
Coffee Mission	3325 24th St	San Francisco	CA	94110			+14155879419	81475_20160217	2017-02-17	98.0	Routine - Unscheduled	81475_20160217_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Royal Ground Coffee	2342 Clement St	San Francisco	CA	94121				84256_20150818	2017-08-18		Reinspection/Followup			
Gold Coin Trading Co	874 Pacific Ave	San Francisco	CA	94133	37.796588	-122.409684		6729_20150513	2017-05-13	76.0	Routine - Unscheduled	6729_20150513_103154	Unclean or degraded floors walls or ceilings	Low Risk
Stacks Restaurant	501 Hayes St	San Francisco	CA	94102	37.776623	-122.424787		33468_20161004	2017-10-04	84.0	Routine - Unscheduled	33468_20161004_103150	Improper or defective plumbing	Low Risk
Miyako	1470 Fillmore St	San Francisco	CA	94115	37.783017	-122.432584		328_20161122	2017-11-22	81.0	Routine - Unscheduled	328_20161122_103131	Moderate risk vermin infestation	Moderate Risk
Ginto	658 Market St	San Francisco	CA	94104				77826_20160318	2017-03-18	69.0	Routine - Unscheduled	77826_20160318_103105	Improper cooling methods	High Risk
Kiki Japanese Restaurant	1269 09th Ave	San Francisco	CA	94122	37.758941	-122.48591		9444_20180316	2017-03-16	92.0	Routine - Unscheduled	9444_20180316_103154	Unclean or degraded floors walls or ceilings	Low Risk
THAT'S IT MARKET	2699 Mission St	San Francisco	CA	94110	37.753973	-122.418576	+14155289833	4959_20170815	2017-08-15		Complaint			
Allstars Cafe Inc	1500 Market St	San Francisco	CA	94102			+14155259888	86990_20161103	2017-11-03	78.0	Routine - Unscheduled	86990_20161103_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
The Spanish Table	130 Clement St	San Francisco	CA	94118				85063_20151124	2017-11-24		New Construction			
Delise	327 Bay St	San Francisco	CA	94133	37.805713	-122.412687		60254_20150901	2017-09-01	94.0	Routine - Unscheduled	60254_20150901_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Old Jerusalem Restaurant Inc	2976 MISSION St	San Francisco	CA	94110	37.749337	-122.418205	+14155645958	71174_20170803	2017-08-03		Non-inspection site visit			
Taqueria Dos Charros	55 Cambon Dr	San Francisco	CA	94132			+14155336075	86261_20160824	2017-08-24	90.0	Routine - Unscheduled	86261_20160824_103144	Unapproved or unmaintained equipment or utensils	Low Risk
OSTERIA	3277 SACRAMENTO St	San Francisco	CA	94115	37.788183	-122.446757	+14155775030	2758_20160823	2017-08-23	86.0	Routine - Unscheduled	2758_20160823_103131	Moderate risk vermin infestation	Moderate Risk
La Capra Coffee	360 03rd St Suite 101	San Francisco	CA	94107				83415_20160902	2017-09-02	90.0	Routine - Unscheduled	83415_20160902_103157	Food safety certificate or food handler card not available	Low Risk
YOU SEE SUSHI	94 JUDAH St	San Francisco	CA	94122	37.762378	-122.462692	+14155684010	591_20160627	2017-06-27		Reinspection/Followup	591_20160627_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Mission Neighborhood Centers	362 Capp St	San Francisco	CA	94110	37.761007	-122.418215	+14155207747	6000_20150410	2017-04-10	100.0	Routine - Unscheduled			
Hogwash	582 Sutter St	San Francisco	CA					77406_20150423	2017-04-23		Complaint			
Chowders	Pier 39  Space A3	San Francisco	CA	94133	37.80824	-122.410189		61_20160708	2017-07-08	94.0	Routine - Unscheduled	61_20160708_103142	Unclean nonfood contact surfaces	Low Risk
The Epicurian Trader	1909 A Union St	San Francisco	CA	94123				89133_20170210	2017-02-10		New Construction			
A2 CAFE	450 IRWIN St	San Francisco	CA	94107	37.767224	-122.399039		1482_20170208	2017-02-08	74.0	Routine - Unscheduled	1482_20170208_103147	Inadequate ventilation or lighting	Low Risk
Yemen Cafe & Restaurant	1098 Sutter St	San Francisco	CA	94109			+14155448832	86545_20171005	2017-10-05	82.0	Routine - Unscheduled	86545_20171005_103130	Inadequate sewage or wastewater disposal	Moderate Risk
Papalote	3409 24th St	San Francisco	CA	94110	37.752073	-122.420939		32925_20180306	2017-03-06	90.0	Routine - Unscheduled	32925_20180306_103154	Unclean or degraded floors walls or ceilings	Low Risk
John Muir Elementary School	380 Webster St	San Francisco	CA	94117	37.774046	-122.429076	+14155246335	5847_20160823	2017-08-23	100.0	Routine - Unscheduled			
Poki Time	2101 Lombard St	San Francisco	CA	94123				87652_20180130	2017-01-30		Reinspection/Followup			
Holy Kitchen	4166 24th St	San Francisco	CA	94114			+14155644416	77632_20171107	2017-11-07	90.0	Routine - Unscheduled	77632_20171107_103139	Improper food storage	Low Risk
El Beach Burrito	3914 Judah St	San Francisco	CA		37.760851	-122.503998		11416_20170711	2017-07-11		Reinspection/Followup			
PAN-O-RAMA	500 FLORIDA St	San Francisco	CA	94110	37.762921	-122.411254		5272_20151016	2017-10-16	96.0	Routine - Unscheduled	5272_20151016_103120	Moderate risk food holding temperature	Moderate Risk
HARVEY'S	500 CASTRO St	San Francisco	CA	94114	37.760698	-122.435015	+14155434278	3331_20151211	2017-12-11	85.0	Routine - Unscheduled	3331_20151211_103131	Moderate risk vermin infestation	Moderate Risk
Sweet Mart	727 Washington St	San Francisco	CA	94108	37.795188	-122.405723		4985_20170103	2017-01-03	100.0	Routine - Unscheduled			
The Battery - Main Kitchen	717 Battery St 1st Floor	San Francisco	CA	94111				75258_20161025	2017-10-25	91.0	Routine - Unscheduled	75258_20161025_103109	Unclean or unsanitary food contact surfaces	High Risk
Capurro's	498 Jefferson St	San Francisco	CA	94109	37.807649	-122.420744		65873_20160819	2017-08-19		Reinspection/Followup			
Chili House Inc.	726 Clement St	San Francisco	CA	94118				69762_20171023	2017-10-23	77.0	Routine - Unscheduled	69762_20171023_103109	Unclean or unsanitary food contact surfaces	High Risk
Amber India Corporation	25 Yerba Buena Ln	San Francisco	CA	94103	37.785386	-122.403918		38259_20180117	2017-01-17	85.0	Routine - Unscheduled	38259_20180117_103139	Improper food storage	Low Risk
GCAFE	44 Tehama St	San Francisco	CA	94105				83125_20160622	2017-06-22		New Construction			
Monterey Deli	499 Monterey Blvd	San Francisco	CA	94127			+14155741225	70071_20170928	2017-09-28	96.0	Routine - Unscheduled	70071_20170928_103120	Moderate risk food holding temperature	Moderate Risk
HEUNG YUEN RESTAURANT	3279 22nd St	San Francisco	CA	94110	37.755282	-122.420493		1000_20160919	2017-09-19	81.0	Routine - Unscheduled	1000_20160919_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
My Father's Kitchen LLC	1655 Divisadero St	San Francisco	CA	94115	37.785013	-122.439844		63303_20150330	2017-03-30	88.0	Routine - Unscheduled	63303_20150330_103144	Unapproved or unmaintained equipment or utensils	Low Risk
Quickly	3251 20th Ave 160	San Francisco	CA	94132			+14155818288	85697_20170712	2017-07-12		Non-inspection site visit			
Darioush Inc.	3065 Jackson St	San Francisco	CA	94115				74955_20180228	2017-02-28	93.0	Routine - Unscheduled	74955_20180228_103109	Unclean or unsanitary food contact surfaces	High Risk
Red Cafe	2894 Mission St	San Francisco	CA	94110			+14155281515	75792_20180308	2017-03-08	85.0	Routine - Unscheduled	75792_20180308_103142	Unclean nonfood contact surfaces	Low Risk
Pane e Vino Trattoria	1715 UNION St	San Francisco	CA	94123	37.798063	-122.427637	+14155442111	3317_20150611	2017-06-11	90.0	Routine - Unscheduled	3317_20150611_103150	Improper or defective plumbing	Low Risk
Yee's Restaurant	1131 Grant Ave	San Francisco	CA	94133	37.797292	-122.406914		3115_20160613	2017-06-13		Complaint	3115_20160613_103144	Unapproved or unmaintained equipment or utensils	Low Risk
The Iron Cactus	683 04th St	San Francisco	CA	94107	37.77741	-122.395283		71056_20170807	2017-08-07	92.0	Routine - Unscheduled	71056_20170807_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
WEBSTER ELEMENTARY SCHOOL	465 MISSOURI St	San Francisco	CA	94107	37.760474	-122.396296	+14155695787	5823_20160729	2017-07-29		New Construction			
All Good Pizza	1605 Jerrold Ave	San Francisco	CA		37.738998	-122.389778		68842_20180104	2017-01-04	73.0	Routine - Unscheduled	68842_20180104_103154	Unclean or degraded floors walls or ceilings	Low Risk
Capannina	1809 UNION St	San Francisco	CA	94123	37.797855	-122.429064		1784_20170512	2017-05-12	100.0	Routine - Unscheduled			
La Corneta, Inc	2834 Diamond St	San Francisco	CA	94131	37.734012	-122.434072	+14155468757	69475_20160205	2017-02-05	83.0	Routine - Unscheduled	69475_20160205_103144	Unapproved or unmaintained equipment or utensils	Low Risk
AJ's BBQ  & Cafe	2275 San Jose St	San Francisco	CA	94112				89833_20180110	2017-01-10		Reinspection/Followup			
Craftsman and Wolves The Den	1598 Yosemite Ave	San Francisco	CA	94124				84749_20160308	2017-03-08		New Construction			
Inay - Metreon SF	135 04th St FC-10	San Francisco	CA	94103	37.784103	-122.403669		69520_20160919	2017-09-19	89.0	Routine - Unscheduled	69520_20160919_103139	Improper food storage	Low Risk
GGP MARKET	2948 24th St	San Francisco	CA	94110	37.752748	-122.410822		7663_20150626	2017-06-26	94.0	Routine - Unscheduled	7663_20150626_103139	Improper food storage	Low Risk
BUCHANAN FOOD MART	2135 BUCHANAN St	San Francisco	CA	94115	37.789844	-122.430684	+14155937420	6904_20161014	2017-10-14	96.0	Routine - Unscheduled	6904_20161014_103138	Improper storage use or identification of toxic substances	Low Risk
Wonglee LLC	732 Jackson St	San Francisco	CA	94133				67262_20161005	2017-10-05	88.0	Routine - Unscheduled	67262_20161005_103145	Improper storage of equipment utensils or linens	Low Risk
Sajj	636 02nd St	San Francisco	CA	94107				89788_20170315	2017-03-15		Reinspection/Followup			
Happy Donut	6 06th St	San Francisco	CA	94103				77772_20171205	2017-12-05		Complaint			
Parlor 1255	1255 Battery St Ste. 700	San Francisco	CA	94111				70547_20160222	2017-02-22	82.0	Routine - Unscheduled	70547_20160222_103103	High risk food holding temperature	High Risk
SUNNYSIDE ELEMENTARY SCHOOL	250 FOERSTER St	San Francisco	CA	94112	37.730307	-122.448801		5803_20180202	2017-02-02	98.0	Routine - Unscheduled	5803_20180202_103150	Improper or defective plumbing	Low Risk
HARVEST MARKET	2285 MARKET St	San Francisco	CA	94114	37.764607	-122.432452	+14155620805	4999_20171207	2017-12-07	86.0	Routine - Unscheduled	4999_20171207_103131	Moderate risk vermin infestation	Moderate Risk
GEORGE WASHINGTON HIGH SCHOOL	600 32nd Ave	San Francisco	CA	94121	37.777772	-122.492005		5828_20171030	2017-10-30	94.0	Routine - Unscheduled	5828_20171030_103131	Moderate risk vermin infestation	Moderate Risk
Wonderland Restaurant	500 Haight St	San Francisco	CA	94117	37.772097	-122.430804		69392_20160630	2017-06-30	70.0	Routine - Unscheduled	69392_20160630_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Osha Thai Noodle	819 Valencia St.	San Francisco	CA		37.759943	-122.421332	+14155319293	10011_20171011	2017-10-11	77.0	Routine - Unscheduled	10011_20171011_103142	Unclean nonfood contact surfaces	Low Risk
The Pig & Whistle	2801 GEARY Blvd	San Francisco	CA	94118	37.782113	-122.449171		3586_20151006	2017-10-06	92.0	Routine - Unscheduled	3586_20151006_103133	Foods not protected from contamination	Moderate Risk
Cookie Love	1488 Pine St	San Francisco	CA	94109				82340_20150609	2017-06-09	100.0	Routine - Unscheduled			
Park Tavern	1652 Stockton St	San Francisco	CA	94133	37.801068	-122.409267		66988_20160429	2017-04-29	86.0	Routine - Unscheduled	66988_20160429_103109	Unclean or unsanitary food contact surfaces	High Risk
Piqueos LLC	830 CORTLAND Ave	San Francisco	CA	94110	37.738893	-122.414078	+14155288812	34708_20170906	2017-09-06	90.0	Routine - Unscheduled	34708_20170906_103131	Moderate risk vermin infestation	Moderate Risk
Beanery	1307 09th Ave	San Francisco	CA	94122	37.758941	-122.48591		1344_20170925	2017-09-25		Complaint	1344_20170925_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Cafe Le	2895 VAN NESS Ave	San Francisco	CA	94109	37.802163	-122.424794		18573_20180321	2017-03-21	89.0	Routine - Unscheduled	18573_20180321_103105	Improper cooling methods	High Risk
OOLA RESTAURANT & BAR	860A FOLSOM STREET	San Francisco	CA	94103	37.78093	-122.402669		12083_20170815	2017-08-15	83.0	Routine - Unscheduled	12083_20170815_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Vega	419 CORTLAND Ave	San Francisco	CA	94110	37.739207	-122.417447		95_20170307	2017-03-07	92.0	Routine - Unscheduled	95_20170307_103143	Inadequate warewashing facilities or equipment	Low Risk
PEKING WOK RESTAURANT	4920 03rd St	San Francisco	CA	94124	37.733891	-122.391183		935_20180301	2017-03-01	83.0	Routine - Unscheduled	935_20180301_103144	Unapproved or unmaintained equipment or utensils	Low Risk
Duc Loi Supermarket	2200 MISSION St	San Francisco	CA	94110	37.761637	-122.419385		39776_20180320	2017-03-20	63.0	Routine - Unscheduled	39776_20180320_103109	Unclean or unsanitary food contact surfaces	High Risk
SHERMAN MARKET	2606 FRANKLIN St	San Francisco	CA	94123	37.798434	-122.425566		4706_20160919	2017-09-19	81.0	Routine - Unscheduled	4706_20160919_103156	Permit license or inspection report not posted	Low Risk
Tropisueño	75 Yerba Buena Ln	San Francisco	CA	94103	37.785638	-122.404189		38566_20160831	2017-08-31		Complaint			
Ilobasco Restaurant & Pupuseria	2680 San Bruno Ave	San Francisco	CA	94134	37.727898	-122.403751		38202_20170912	2017-09-12	76.0	Routine - Unscheduled	38202_20170912_103138	Improper storage use or identification of toxic substances	Low Risk
Yum Yum Sushi House	2181 Irving St	San Francisco	CA	94122				92187_20170801	2017-08-01		New Ownership			
Tee Off Bar & Grill	3129 CLEMENT St	San Francisco	CA	94121	37.781603	-122.492939		24457_20170328	2017-03-28	79.0	Routine - Unscheduled	24457_20170328_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Fumi Curry	3303 Mission St	San Francisco	CA	94110			+14155601611	81302_20171031	2017-10-31	76.0	Routine - Unscheduled	81302_20171031_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Bamboo Restaurant	1441 Polk St	San Francisco	CA	94109	37.790134	-122.420634		298_20171017	2017-10-17	92.0	Routine - Unscheduled	298_20171017_103142	Unclean nonfood contact surfaces	Low Risk
Penang Garden  Restaurant	728 Washington St	San Francisco	CA	94108	37.795288	-122.405543		3543_20170105	2017-01-05	83.0	Routine - Unscheduled	3543_20170105_103114	High risk vermin infestation	High Risk
Sushi Bistro	431 Balboa St	San Francisco	CA	94118			+14155937100	75637_20160505	2017-05-05		Reinspection/Followup			
JEWISH HOME FOR THE AGED	302 SILVER Ave	San Francisco	CA	94112	37.728659	-122.431174	+14155462283	5196_20150413	2017-04-13		Routine - Unscheduled			
Oyaji Restaurant	3123 Clement St	San Francisco	CA	94121			+14155756174	79053_20160526	2017-05-26	83.0	Routine - Unscheduled	79053_20160526_103147	Inadequate ventilation or lighting	Low Risk
BAZAAR CAFE	5927 CALIFORNIA St	San Francisco	CA	94121	37.784023	-122.481199		1465_20150430	2017-04-30		Complaint			
Allstars Cafe Inc	1500 Market St	San Francisco	CA	94102			+14155259888	86990_20170113	2017-01-13		Complaint			
Town School For Boys	2750 JACKSON St	San Francisco	CA	94115	37.791777	-122.440355		61056_20161018	2017-10-18		Complaint			
Beretta	1199 VALENCIA St	San Francisco	CA	94110	37.753823	-122.420786	+14155691199	3626_20171004	2017-10-04	89.0	Routine - Unscheduled	3626_20171004_103105	Improper cooling methods	High Risk
H20 Cafe	1330 Polk St	San Francisco	CA	94109	37.789288	-122.420387		62708_20171017	2017-10-17		Reinspection/Followup			
Naples Pizzarella	1192 GENEVA Ave	San Francisco	CA	94112	37.714324	-122.436512		58922_20150514	2017-05-14	76.0	Routine - Unscheduled	58922_20150514_103102	Unclean hands or improper use of gloves	High Risk
Chubby Noodle	1310 Grant Ave	San Francisco	CA	94133				85532_20170421	2017-04-21	93.0	Routine - Unscheduled	85532_20170421_103105	Improper cooling methods	High Risk
Le Soleil International Holdings, Inc	133 Clement  St.	San Francisco	CA	94118			+14155664848	81460_20160615	2017-06-15	78.0	Routine - Unscheduled	81460_20160615_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Arabi Mediterranean Cuisine	101 SPEAR St	San Francisco	CA	94105	37.792577	-122.393992		60475_20170331	2017-03-31	92.0	Routine - Unscheduled	60475_20170331_103120	Moderate risk food holding temperature	Moderate Risk
Taco Bell Cantina #31685	710 03rd St	San Francisco	CA	94107				84922_20160919	2017-09-19	100.0	Routine - Unscheduled			
Kabob Trolley	428 11th St	San Francisco	CA	94103				78941_20160803	2017-08-03		Reinspection/Followup			
CREPE EXPRESS	31 Haight St	San Francisco	CA	94117	37.770068	-122.446644		1048_20150901	2017-09-01	85.0	Routine - Unscheduled	1048_20150901_103114	High risk vermin infestation	High Risk
Tenderloin Market & Deli	200 Leavenworth	San Francisco	CA	94102				76218_20151027	2017-10-27	69.0	Routine - Unscheduled	76218_20151027_103116	Inadequate food safety knowledge or lack of certified food safety manager	Moderate Risk
ST. ANNE	1320 14th Ave	San Francisco	CA	94122	37.763403	-122.471582		5960_20151204	2017-12-04	90.0	Routine - Unscheduled	5960_20151204_103120	Moderate risk food holding temperature	Moderate Risk
Vital Tea Leaf	1044 Grant Ave	San Francisco	CA	94133	37.796597	-122.406696		15806_20160802	2017-08-02	96.0	Routine - Unscheduled	15806_20160802_103143	Inadequate warewashing facilities or equipment	Low Risk
Golden River Restaurant	5827 GEARY Blvd	San Francisco	CA	94121	37.780144	-122.48204	+14155665105	71373_20161031	2017-10-31	52.0	Routine - Unscheduled	71373_20161031_103108	Contaminated or adulterated food	High Risk
ARINELL PIZZA	509 VALENCIA St	San Francisco	CA	94110	37.764744	-122.421803	+14155251303	1081_20171106	2017-11-06	88.0	Routine - Unscheduled	1081_20171106_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
New Mings Restaurant	641 Mission St	San Francisco	CA	94105	37.787148	-122.400822		17689_20170905	2017-09-05	74.0	Routine - Unscheduled	17689_20170905_103154	Unclean or degraded floors walls or ceilings	Low Risk
Szechuan Taste Restaurant Inc	917 Taraval St	San Francisco	CA	94116			+14155688383	82869_20170801	2017-08-01	63.0	Routine - Unscheduled	82869_20170801_103133	Foods not protected from contamination	Moderate Risk
Big Rec Taproom	3066 24th St.	San Francisco	CA	94110				91199_20170420	2017-04-20	90.0	Routine - Unscheduled	91199_20170420_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Toast Eatery	1748 Church St	San Francisco	CA	94131			+14155284328	82196_20170412	2017-04-12	88.0	Routine - Unscheduled	82196_20170412_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Hong Kong Lounge II	3300 Geary Blvd	San Francisco	CA	94118	37.781658	-122.454393		67741_20180321	2017-03-21	72.0	Routine - Unscheduled	67741_20180321_103131	Moderate risk vermin infestation	Moderate Risk
B & M MEI SING RESTAURANT	62 02nd St	San Francisco	CA	94105	37.788453	-122.400466	+14155772888	2132_20170808	2017-08-08		Non-inspection site visit			
B Star	127 CLEMENT St	San Francisco	CA	94118	37.783093	-122.460649		33911_20161006	2017-10-06	68.0	Routine - Unscheduled	33911_20161006_103131	Moderate risk vermin infestation	Moderate Risk
El Dorado Market	124 Jones St	San Francisco	CA	94102	37.782488	-122.412267		32729_20180102	2017-01-02	89.0	Routine - Unscheduled	32729_20180102_103103	High risk food holding temperature	High Risk
